82 83 69 92
77 37 49 92
11 69  5 86
 8  9 98 23

4	21	93	17	57	28	76	70	6	1
69	25	84	85	16	32	61	10	16	88
72	12	19	86	43	80	78	66	5	39
66	41	14	6	93	94	78	9	75	11
27	74	44	31	12	20	57	17	24	20
26	19	74	88	87	10	91	74	61	15
50	92	46	15	57	48	13	6	67	19
80	50	90	32	32	92	28	72	8	78
14	79	67	72	23	84	73	35	53	3
75	78	47	59	71	17	97	32	24	48

35	75	74	75	2	79	48	60	11	34
28	42	96	48	85	17	29	25	15	27
22	23	15	45	42	98	50	28	29	85
98	58	60	4	13	28	52	41	14	62
47	51	68	86	96	97	37	82	99	31
70	87	93	67	99	34	62	87	13	81
7	86	23	81	84	55	9	47	14	20
8	24	56	82	75	71	54	54	77	71
49	84	32	88	20	27	5	69	41	61
42	15	26	41	56	50	81	36	70	21

13	58	75	70	48	29	64	99	76	87
35	38	48	24	21	31	68	32	89	23
38	83	39	53	19	59	3	95	64	2
24	55	65	45	95	19	24	43	70	62
53	77	22	58	20	42	99	99	45	47
83	97	84	57	23	34	44	46	49	47
67	81	1	36	77	12	99	48	9	12
81	75	16	24	79	19	3	7	24	19
90	94	45	9	75	42	61	80	97	84
24	32	56	89	48	62	23	86	47	98

92	79	48	86	63	1	48	7	60	73
46	50	10	59	88	94	99	10	73	34
89	88	38	31	9	50	43	37	43	11
13	1	62	11	39	8	5	60	49	89
94	49	38	50	29	32	26	73	56	76
4	28	43	91	26	2	10	72	89	61
41	19	61	71	8	32	12	97	20	94
64	66	91	87	97	14	58	9	17	64
55	29	17	50	80	97	18	56	30	5
42	87	90	2	20	44	27	11	50	7

